K,west_germany_learning_set,west_germany_expected,west_germany_result,usa_learning_set,usa_expected,usa_result,france_learning_set,france_expected,france_result,uk_learning_set,uk_expected,uk_result,canada_learning_set,canada_expected,canada_result,japan_learning_set,japan_expected,japan_result,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
1,151,179,60,5503,5375,6259,0,0,0,498,440,122,427,422,194,167,331,112,0.18994413407821228,0.5666666666666667,0.3088732862646926,0.9778604651162791,0.8397507589071737,0.8956231284529989,0.0,0.0,0.0,0.14545454545454545,0.5245901639344263,0.24735817343695396,0.35071090047393366,0.7628865979381443,0.49239342195736885,0.2175226586102719,0.6428571428571429,0.3443725657269804,0.8261449533125834,0.7974858741968506,0.7855161661938861,0.8261449533125834
2,151,179,84,5503,5375,6044,0,0,0,498,440,74,427,422,221,167,331,324,0.21787709497206703,0.4642857142857143,0.3457113935899621,0.9665116279069768,0.8595301125082727,0.896829828912142,0.0,0.0,0.0,0.1,0.5945945945945946,0.1786443413993385,0.37203791469194314,0.7104072398190046,0.5150223173353925,0.6314199395770392,0.6450617283950617,0.7196416909196784,0.8365199347858308,0.8119179496832839,0.8027993178717986,0.8365199347858308
3,151,179,67,5503,5375,6066,0,0,0,498,440,120,427,422,199,167,331,295,0.16201117318435754,0.43283582089552236,0.27163650034910575,0.9709767441860465,0.8603692713484998,0.9007963127065824,0.0,0.0,0.0,0.15454545454545454,0.5666666666666667,0.2610640508602927,0.36492890995260663,0.7738693467336684,0.5088247107055979,0.5981873111782477,0.6711864406779661,0.6987914747569594,0.8400770712909441,0.8151817629995305,0.8079583967394717,0.8400770712909441
5,151,179,62,5503,5375,6073,0,0,0,498,440,125,427,422,197,167,331,290,0.16201117318435754,0.46774193548387094,0.27176017785852596,0.9717209302325581,0.8600362259179977,0.9024789241569082,0.0,0.0,0.0,0.16590909090909092,0.584,0.2772228144330483,0.36492890995260663,0.7817258883248731,0.5092588444668885,0.6193353474320241,0.7068965517241379,0.7138649591871931,0.8424484956276864,0.819216185601695,0.811122552450954,0.8424484956276864
8,151,179,61,5503,5375,6063,0,0,0,498,440,133,427,422,201,167,331,289,0.13966480446927373,0.4098360655737705,0.23958858746902342,0.9707906976744186,0.8606300511298037,0.9018225566574128,0.0,0.0,0.0,0.175,0.5789473684210527,0.2897740728461138,0.3744075829383886,0.7860696517412935,0.5183322322983603,0.6132930513595166,0.7024221453287197,0.7096766451736772,0.8420038535645472,0.817875670046583,0.8109266878353689,0.8420038535645472
12,151,179,47,5503,5375,6069,0,0,0,498,440,138,427,422,203,167,331,290,0.11173184357541899,0.425531914893617,0.19726823284740205,0.9707906976744186,0.859779205799967,0.9014824028239559,0.0,0.0,0.0,0.175,0.5579710144927537,0.28973894403756345,0.37203791469194314,0.7733990147783252,0.5159455660000816,0.6193353474320241,0.7068965517241379,0.713492214815546,0.8414109974803616,0.8156733115717704,0.8095685513844607,0.8414109974803616
15,151,179,39,5503,5375,6072,0,0,0,498,440,138,427,422,203,167,331,295,0.11173184357541899,0.5128205128205128,0.19728044735425385,0.9709767441860465,0.8595191040843215,0.901817791093211,0.0,0.0,0.0,0.17727272727272728,0.5652173913043478,0.29287389116255147,0.37203791469194314,0.7733990147783252,0.5160291287726342,0.622356495468278,0.6983050847457627,0.715653576402417,0.8418556395435008,0.8178329740194625,0.8101517660360449,0.8418556395435008
20,151,179,29,5503,5375,6065,0,0,0,498,440,142,427,422,203,167,331,308,0.10614525139664804,0.6551724137931034,0.18855427361311233,0.9707906976744186,0.8603462489694971,0.902502197297434,0.0,0.0,0.0,0.17954545454545454,0.5563380281690141,0.29605098260211127,0.37203791469194314,0.7733990147783252,0.5162794501908506,0.6525679758308157,0.7012987012987013,0.7357322197777459,0.8431895657329184,0.821836362389314,0.8116733734285395,0.8431895657329184
30,151,179,26,5503,5375,6060,0,0,0,498,440,146,427,422,202,167,331,313,0.1005586592178771,0.6923076923076923,0.17966419680217544,0.9696744186046512,0.86006600660066,0.9014255203100278,0.0,0.0,0.0,0.17954545454545454,0.541095890410959,0.2959869677586543,0.3696682464454976,0.7722772277227723,0.5138003950919562,0.6555891238670695,0.6932907348242812,0.7372511877246183,0.8421520675855936,0.8211412890926771,0.8104950701902255,0.8421520675855936
40,151,179,21,5503,5375,6084,0,0,0,498,440,154,427,422,196,167,331,292,0.0893854748603352,0.7619047619047619,0.1615704994799405,0.9702325581395349,0.8571663379355687,0.9002204312395616,0.0,0.0,0.0,0.17954545454545454,0.512987012987013,0.295830960535931,0.36018957345971564,0.7755102040816326,0.5041195208440787,0.6132930513595166,0.6952054794520548,0.708832960013018,0.8396324292278049,0.8191407476389505,0.8070451619261707,0.8396324292278049
