K,west_germany_learning_set,west_germany_expected,west_germany_result,usa_learning_set,usa_expected,usa_result,france_learning_set,france_expected,france_result,uk_learning_set,uk_expected,uk_result,canada_learning_set,canada_expected,canada_result,japan_learning_set,japan_expected,japan_result,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
1,264,66,2,8717,2161,2662,0,0,0,740,198,3,694,155,9,377,121,25,0.030303030303030304,1.0,0.058424510574783116,0.998611753817677,0.8106686701728024,0.8954161922528339,0.0,0.0,0.0,0.005050505050505051,0.3333333333333333,0.010038537542619134,0.05806451612903226,1.0,0.10837506077144717,0.18181818181818182,0.88,0.29707935217185066,0.7942743414451781,0.811551277304702,0.7380906240733494,0.811551277304702
2,264,66,2,8717,2161,2665,0,0,0,740,198,4,694,155,8,377,121,22,0.030303030303030304,1.0,0.058420666177157736,0.998611753817677,0.8097560975609757,0.8945140421175435,0.0,0.0,0.0,0.005050505050505051,0.25,0.010038424040832713,0.05161290322580645,1.0,0.0970428110481555,0.15702479338842976,0.8636363636363636,0.2630581490633315,0.7867023053792183,0.8100703443169197,0.7351943312450634,0.8100703443169197
3,264,66,2,8717,2161,2660,0,0,0,740,198,4,694,155,9,377,121,26,0.030303030303030304,1.0,0.058426427705950496,0.998611753817677,0.8112781954887218,0.8958667139956208,0.0,0.0,0.0,0.010101010101010102,0.5,0.019953889598784944,0.05806451612903226,1.0,0.10838165755984841,0.19008264462809918,0.8846153846153846,0.3080736392579908,0.8071864650091038,0.8122917437985931,0.7396708813719667,0.8122917437985931
5,264,66,2,8717,2161,2662,0,0,0,740,198,3,694,155,9,377,121,25,0.030303030303030304,1.0,0.05842259006815969,0.998611753817677,0.8106686701728024,0.8949653017777656,0.0,0.0,0.0,0.005050505050505051,0.3333333333333333,0.010038480843232393,0.05806451612903226,1.0,0.10836845273931367,0.1652892561983471,0.8,0.2745995423340961,0.7906904836147449,0.8108108108108109,0.7367223924806475,0.8108108108108109
8,264,66,4,8717,2161,2660,0,0,0,740,198,2,694,155,9,377,121,26,0.015151515151515152,0.25,0.029747895739933125,0.999537251272559,0.8120300751879699,0.8960135466607044,0.0,0.0,0.0,0.010101010101010102,1.0,0.019953777842480713,0.05806451612903226,1.0,0.10837836056931999,0.17355371900826447,0.8076923076923077,0.2859777566646175,0.8226685530218335,0.8119215105516475,0.7380975334728221,0.8119215105516475
12,264,66,1,8717,2161,2661,0,0,0,740,198,2,694,155,9,377,121,28,0.015151515151515152,1.0,0.02974739829064471,0.998611753817677,0.8109733183013904,0.8951907931351221,0.0,0.0,0.0,0.010101010101010102,1.0,0.019953554027594377,0.05806451612903226,1.0,0.10837175816264283,0.17355371900826447,0.75,0.285931790499391,0.8375651021285838,0.8111810440577564,0.7374368030785935,0.8111810440577564
15,264,66,1,8717,2161,2661,0,0,0,740,198,2,694,155,9,377,121,28,0.015151515151515152,1.0,0.02974739829064471,0.998611753817677,0.8109733183013904,0.8951907931351221,0.0,0.0,0.0,0.010101010101010102,1.0,0.019953554027594377,0.05806451612903226,1.0,0.10837175816264283,0.17355371900826447,0.75,0.285931790499391,0.8375651021285838,0.8111810440577564,0.7374368030785935,0.8111810440577564
20,264,66,0,8717,2161,2655,0,0,0,740,198,2,694,155,9,377,121,35,0.0,0.0,0.0,0.997686256362795,0.8120527306967985,0.8948187397608303,0.0,0.0,0.0,0.010101010101010102,1.0,0.019953554027594377,0.05806451612903226,1.0,0.10837175816264283,0.19834710743801653,0.6857142857142857,0.31875369390940644,0.8111134319167753,0.8111810440577564,0.737882606367592,0.8111810440577564
30,264,66,0,8717,2161,2658,0,0,0,740,198,1,694,155,9,377,121,33,0.0,0.0,0.0,0.997686256362795,0.8111361926260346,0.894368039523261,0.0,0.0,0.0,0.005050505050505051,1.0,0.010038452454926707,0.05806451612903226,1.0,0.1083651444978603,0.19008264462809918,0.696969696969697,0.3079402554190928,0.8108843560156218,0.8104405775638652,0.7363103721950097,0.8104405775638652
50,264,66,0,8717,2161,2665,0,0,0,740,198,1,694,155,0,377,121,35,0.0,0.0,0.0,0.997686256362795,0.8090056285178236,0.8925615410890355,0.0,0.0,0.0,0.005050505050505051,1.0,0.010038224417140924,0.0,0.0,0.0,0.19834710743801653,0.6857142857142857,0.31846680355920604,0.7512893712693245,0.8074787115883006,0.7291179348236444,0.8074787115883006
