K,west_germany_learning_set,west_germany_expected,west_germany_result,usa_learning_set,usa_expected,usa_result,france_learning_set,france_expected,france_result,uk_learning_set,uk_expected,uk_result,canada_learning_set,canada_expected,canada_result,japan_learning_set,japan_expected,japan_result,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
1,171,159,7,6626,4252,5299,0,0,0,545,393,12,541,308,14,211,287,67,0.0440251572327044,1.0,0.08345429860628668,0.9967074317968015,0.7997735421777694,0.8872208234097521,0.0,0.0,0.0,0.007633587786259542,0.25,0.015122767368319624,0.045454545454545456,1.0,0.08601807655130493,0.18815331010452963,0.8059701492537313,0.3046114395277075,0.7233918268039764,0.777403321758788,0.7994072976477126,0.7994072976477126
2,171,159,8,6626,4252,5308,0,0,0,545,393,17,541,308,11,211,287,55,0.0440251572327044,0.875,0.08344418344875125,0.9969426152398871,0.7986058779201206,0.8861718373764029,0.0,0.0,0.0,0.007633587786259542,0.17647058823529413,0.01512243518266504,0.03571428571428571,1.0,0.06836711202140243,0.1602787456445993,0.8363636363636363,0.26691713112191545,0.7195546734310401,0.7690658451063507,0.7975551027968142,0.7975551027968142
3,171,159,9,6626,4252,5290,0,0,0,545,393,14,541,308,17,211,287,69,0.0440251572327044,0.7777777777777778,0.08346034640430018,0.996472248353716,0.800945179584121,0.8878115077393589,0.0,0.0,0.0,0.015267175572519083,0.42857142857142855,0.029962910326181147,0.05519480519480519,1.0,0.10326931415451886,0.1916376306620209,0.7971014492753623,0.3092446201570356,0.7261678652507665,0.7843086233800611,0.8005186145582516,0.8005186145582516
5,171,159,10,6626,4252,5289,0,0,0,545,393,18,541,308,16,211,287,66,0.03773584905660377,0.6,0.07207417536604076,0.9974129821260583,0.8018529022499528,0.8881846896360673,0.0,0.0,0.0,0.015267175572519083,0.3333333333333333,0.029962910326181147,0.05194805194805195,1.0,0.09756482970738452,0.18466898954703834,0.803030303030303,0.30010723449636145,0.7253152920585809,0.7731706311051113,0.8005186145582516,0.8005186145582516
8,171,159,8,6626,4252,5289,0,0,0,545,393,19,541,308,16,211,287,67,0.006289308176100629,0.125,0.01248031404882116,0.9960018814675446,0.8007184723010021,0.8863708840196356,0.0,0.0,0.0,0.015267175572519083,0.3157894736842105,0.029961479586961094,0.05194805194805195,1.0,0.09754966156874836,0.18466898954703834,0.7910447761194029,0.2999637653570556,0.7221231944218519,0.7563743393458092,0.7984812002222634,0.7984812002222634
12,171,159,0,6626,4252,5301,0,0,0,545,393,13,541,308,17,211,287,68,0.0,0.0,0.0,0.9974129821260583,0.8000377287304282,0.8873860852220946,0.0,0.0,0.0,0.010178117048346057,0.3076923076923077,0.020100256726627776,0.05519480519480519,1.0,0.10325850944853016,0.18466898954703834,0.7794117647058824,0.30001600470170914,0.7221658176546488,0.75094918984172,0.7992220781626227,0.7992220781626227
15,171,159,0,6626,4252,5302,0,0,0,545,393,12,541,308,17,211,287,68,0.0,0.0,0.0,0.9974129821260583,0.7998868351565447,0.8872719047760265,0.0,0.0,0.0,0.007633587786259542,0.25,0.015122701053225667,0.05519480519480519,1.0,0.10325696324168687,0.18466898954703834,0.7794117647058824,0.30000295224255624,0.7217127898858373,0.7466308574840186,0.7990368586775328,0.7990368586775328
20,171,159,0,6626,4252,5299,0,0,0,545,393,16,541,308,16,211,287,68,0.0,0.0,0.0,0.9971777986829727,0.8001509718814871,0.887064657455199,0.0,0.0,0.0,0.010178117048346057,0.25,0.020100139519574976,0.05194805194805195,1.0,0.09755242481559075,0.18466898954703834,0.7794117647058824,0.29998989486724875,0.7215857612522321,0.7468388792203503,0.7988516391924431,0.7988516391924431
30,171,159,0,6626,4252,5314,0,0,0,545,393,8,541,308,1,211,287,76,0.0,0.0,0.0,0.9969426152398871,0.7977041776439594,0.8852564184013214,0.0,0.0,0.0,0.002544529262086514,0.125,0.005072843938051818,0.003246753246753247,1.0,0.006467130560652672,0.1986062717770035,0.75,0.31790167712449935,0.7148237777843092,0.7342495209005585,0.7960733469160955,0.7960733469160955
50,171,159,0,6626,4252,5389,0,0,0,545,393,9,541,308,1,211,287,0,0.0,0.0,0.0,0.9995296331138288,0.7886435331230284,0.8812012782256013,0.0,0.0,0.0,0.007633587786259542,0.3333333333333333,0.015120682883308777,0.003246753246753247,1.0,0.00646685886848212,0.0,0.0,0.0,0.6954625034117226,0.7024101320316941,0.787923689572143,0.787923689572143
