K,west_germany_learning_set,west_germany_expected,west_germany_result,usa_learning_set,usa_expected,usa_result,france_learning_set,france_expected,france_result,uk_learning_set,uk_expected,uk_result,canada_learning_set,canada_expected,canada_result,japan_learning_set,japan_expected,japan_result,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
1,120,210,20,4415,6463,7818,0,0,0,388,550,137,341,508,35,132,366,87,0.06666666666666667,0.7,0.12319881344635632,0.990406931765434,0.8187515988743924,0.8914210908819877,0.0,0.0,0.0,0.1290909090909091,0.5182481751824818,0.22270719292387858,0.05708661417322835,0.8285714285714286,0.10666004541647038,0.1284153005464481,0.5402298850574713,0.22170106147863727,0.8104236136840806,0.8104236136840806,0.7832859705472254,0.7465655315394472
2,120,210,28,4415,6463,81,0,0,0,388,550,83,341,508,7783,132,366,122,0.08095238095238096,0.6071428571428571,0.08061309725733087,0.0030945381401825778,0.24691358024691357,0.005959352630939584,0.0,0.0,0.0,0.0890909090909091,0.5903614457831325,0.08445442046634219,0.9881889763779528,0.06449955030194013,0.14849049829188143,0.16939890710382513,0.5081967213114754,0.10893157853480269,0.08027664567123625,0.08027664567123625,0.2799514679350266,0.02682426931089339
3,120,210,31,4415,6463,7800,0,0,0,388,550,116,341,508,42,132,366,108,0.07142857142857142,0.4838709677419355,0.13128757038978187,0.9896332972303884,0.82,0.8911822495009585,0.0,0.0,0.0,0.12363636363636364,0.5862068965517241,0.2145469282345323,0.06496062992125984,0.7857142857142857,0.12028140580722284,0.13934426229508196,0.4722222222222222,0.23780632716460537,0.8105471162158824,0.8105471162158824,0.7775303058917432,0.7476129614335997
5,120,210,27,4415,6463,7793,0,0,0,388,550,126,341,508,40,132,366,111,0.05238095238095238,0.4074074074074074,0.09841179749244076,0.9899427510444067,0.8209931990247659,0.8920538865273658,0.0,0.0,0.0,0.13636363636363635,0.5952380952380952,0.2335032593829375,0.06496062992125984,0.825,0.12029498500534483,0.15300546448087432,0.5045045045045045,0.2574807197943445,0.8117821415339015,0.8117821415339015,0.7808773869188858,0.7496338563156525
8,120,210,10,4415,6463,7794,0,0,0,388,550,124,341,508,43,132,366,126,0.0380952380952381,0.8,0.07277726830739185,0.9896332972303884,0.8206312548113934,0.8922263288252491,0.0,0.0,0.0,0.13818181818181818,0.6129032258064516,0.23618465847745257,0.07086614173228346,0.8372093023255814,0.1303592350179265,0.16666666666666666,0.48412698412698413,0.2765827708740722,0.812276151661109,0.812276151661109,0.7918154101286223,0.7507836652135054
12,120,210,10,4415,6463,7779,0,0,0,388,550,135,341,508,43,132,366,130,0.0380952380952381,0.8,0.07277925000656629,0.989169116509361,0.8218279984573853,0.8923354438678319,0.0,0.0,0.0,0.14545454545454545,0.5925925925925926,0.24675029468212997,0.07086614173228346,0.8372093023255814,0.13036559329122005,0.17486338797814208,0.49230769230769234,0.28780663470060347,0.8127701617883166,0.8127701617883166,0.7917608028803282,0.7520962366292095
15,120,210,10,4415,6463,7779,0,0,0,388,550,135,341,508,43,132,366,130,0.0380952380952381,0.8,0.07278468783296622,0.9897880241373975,0.8223422033680422,0.8934057996768134,0.0,0.0,0.0,0.14545454545454545,0.5925925925925926,0.24681281240054664,0.07086614173228346,0.8372093023255814,0.13038304194132896,0.19398907103825136,0.5461538461538461,0.31332067416911263,0.8141286896381376,0.8141286896381376,0.794605189522945,0.7541093573704531
20,120,210,10,4415,6463,7781,0,0,0,388,550,135,341,508,45,132,366,126,0.0380952380952381,0.8,0.07278616786896283,0.9900974779514158,0.8223878678833055,0.8937549448734631,0.0,0.0,0.0,0.14545454545454545,0.5925925925925926,0.24682983197700123,0.07283464566929133,0.8222222222222222,0.1337123809779528,0.19398907103825136,0.5634920634920635,0.3133481025089196,0.8144991972335432,0.8144991972335432,0.794485080916724,0.7545993586034445
30,120,210,0,4415,6463,7815,0,0,0,388,550,135,341,508,45,132,366,102,0.0,0.0,0.0,0.9913352932074888,0.8198336532309661,0.8938121122879794,0.0,0.0,0.0,0.14545454545454545,0.5925925925925926,0.2467957796760548,0.07283464566929133,0.8222222222222222,0.13370238738006268,0.17759562841530055,0.6372549019607843,0.2915606803411577,0.8137581820427319,0.8137581820427319,0.7750321118641713,0.7517694679922164
50,120,210,0,4415,6463,7909,0,0,0,388,550,135,341,508,45,132,366,8,0.0,0.0,0.0,0.9936561968126257,0.8119863446706284,0.8911589997846371,0.0,0.0,0.0,0.14545454545454545,0.5925925925925926,0.24652145544141654,0.07283464566929133,0.8222222222222222,0.13362183315725384,0.00546448087431694,0.25,0.010855530661355904,0.8078300605162406,0.8078300605162406,0.7512637471188202,0.7369396605615449
