K,west_germany_learning_set,west_germany_expected,west_germany_result,usa_learning_set,usa_expected,usa_result,france_learning_set,france_expected,france_result,uk_learning_set,uk_expected,uk_result,canada_learning_set,canada_expected,canada_result,japan_learning_set,japan_expected,japan_result,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
1,120,210,9,4415,6463,7971,0,0,0,388,550,9,341,508,30,132,366,78,0.0380952380952381,0.8888888888888888,0.07276083101230287,0.9976790963948631,0.8089323798770544,0.8929994930972167,0.0,0.0,0.0,0.0036363636363636364,0.2222222222222222,0.0072401514191814224,0.045275590551181105,0.7666666666666667,0.08574758095735097,0.1721311475409836,0.8076923076923077,0.2838151393270377,0.7333770154131746,0.8082005681116463,0.7684452156744898,0.8082005681116463
2,120,210,9,4415,6463,5,0,0,0,388,550,7,341,508,7986,132,366,90,0.0380952380952381,0.8888888888888888,0.04991588406908154,1.5472690700912888E-4,0.2,3.0879363653250034E-4,0.0,0.0,0.0,0.0036363636363636364,0.2857142857142857,0.0069247903951030155,1.0,0.06361131980966692,0.1349763906483934,0.1830601092896175,0.7444444444444445,0.10373394101522508,0.01516874552373466,0.07237248363591453,0.23974197121643837,0.07237248363591453
3,120,210,19,4415,6463,7955,0,0,0,388,550,7,341,508,25,132,366,91,0.04285714285714286,0.47368421052631576,0.08139792815073876,0.9969054618598174,0.8099308610936518,0.8926894567422664,0.0,0.0,0.0,0.0036363636363636364,0.2857142857142857,0.0072401514191814224,0.047244094488188976,0.96,0.08926983982629849,0.18032786885245902,0.7252747252747253,0.29486473145984343,0.7340739999337452,0.8082005681116463,0.7711905947946406,0.8082005681116463
5,120,210,17,4415,6463,7955,0,0,0,388,550,7,341,508,27,132,366,91,0.0380952380952381,0.47058823529411764,0.07276033044065705,0.9969054618598174,0.8099308610936518,0.8926141145786023,0.0,0.0,0.0,0.0036363636363636364,0.2857142857142857,0.0072401464627519195,0.047244094488188976,0.8888888888888888,0.08926908633233395,0.18032786885245902,0.7252747252747253,0.29485651078473546,0.7337894221653201,0.8080770655798444,0.7666488386821042,0.8080770655798444
8,120,210,0,4415,6463,7960,0,0,0,388,550,9,341,508,25,132,366,103,0.0,0.0,0.0,0.9967507349528083,0.8092964824120603,0.8922506559908419,0.0,0.0,0.0,0.005454545454545455,0.3333333333333333,0.010835903479425897,0.047244094488188976,0.96,0.08926607017923062,0.1912568306010929,0.6796116504854369,0.3092703401007546,0.7325078232321133,0.8075830554526368,0.7595695150352166,0.8075830554526368
12,120,210,0,4415,6463,7960,0,0,0,388,550,8,341,508,26,132,366,103,0.0,0.0,0.0,0.9967507349528083,0.8092964824120603,0.8920998791382289,0.0,0.0,0.0,0.0036363636363636364,0.25,0.0072401166924728035,0.045275590551181105,0.8846153846153846,0.08574271027853507,0.1912568306010929,0.6796116504854369,0.3092522231368431,0.7319213527900227,0.807336050389033,0.7491794053713018,0.807336050389033
15,120,210,0,4415,6463,7960,0,0,0,388,550,8,341,508,26,132,366,103,0.0,0.0,0.0,0.9967507349528083,0.8092964824120603,0.8920998791382289,0.0,0.0,0.0,0.0036363636363636364,0.25,0.0072401166924728035,0.045275590551181105,0.8846153846153846,0.08574271027853507,0.1912568306010929,0.6796116504854369,0.3092522231368431,0.7319213527900227,0.807336050389033,0.7491794053713018,0.807336050389033
20,120,210,0,4415,6463,7960,0,0,0,388,550,2,341,508,30,132,366,105,0.0,0.0,0.0,0.9967507349528083,0.8092964824120603,0.8920244752282454,0.0,0.0,0.0,0.0018181818181818182,0.5,0.0036281914248450617,0.045275590551181105,0.7666666666666667,0.08574201366084142,0.1912568306010929,0.6666666666666666,0.30924316129350593,0.7316153672541614,0.8072125478572311,0.7581758469180947,0.8072125478572311
30,120,210,0,4415,6463,7960,0,0,0,388,550,0,341,508,32,132,366,105,0.0,0.0,0.0,0.9967507349528083,0.8092964824120603,0.8919490609929835,0.0,0.0,0.0,0.0,0.0,0.0,0.045275590551181105,0.71875,0.08574131684127632,0.1912568306010929,0.6666666666666666,0.309234097208139,0.7313082684613066,0.8070890453254291,0.7212063932109604,0.8070890453254291
50,120,210,0,4415,6463,8097,0,0,0,388,550,0,341,508,0,132,366,0,0.0,0.0,0.0,1.0,0.7981968630356923,0.8877747252747253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7086190007966592,0.7981968630356923,0.6371182321600196,0.7981968630356923
