K,west_germany_learning_set,west_germany_expected,west_germany_result,usa_learning_set,usa_expected,usa_result,france_learning_set,france_expected,france_result,uk_learning_set,uk_expected,uk_result,canada_learning_set,canada_expected,canada_result,japan_learning_set,japan_expected,japan_result,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
1,103,227,59,4367,6511,7708,0,0,0,396,542,158,389,460,76,141,357,96,0.1762114537444934,0.6779661016949152,0.28981771211842816,0.9831055137459683,0.8304359107420861,0.891633418763969,0.0,0.0,0.0,0.14206642066420663,0.4873417721518987,0.2419886477046205,0.09130434782608696,0.5526315789473685,0.16422693283810497,0.12605042016806722,0.46875,0.2183591382445314,0.8157342225515624,0.7602655623981492,0.8157342225515624,0.7714659795910319
2,103,227,66,4367,6511,7551,0,0,0,396,542,220,389,460,99,141,357,161,0.1762114537444934,0.6060606060606061,0.28975529249769,0.9743510981416065,0.8401536220368163,0.8874294949975581,0.0,0.0,0.0,0.1752767527675277,0.4318181818181818,0.28849041921253255,0.09782608695652174,0.45454545454545453,0.17467861729310366,0.20448179271708683,0.453416149068323,0.32691559664789677,0.8147462022971471,0.7653761556746198,0.8147462022971471,0.7672992366939885
3,103,227,48,4367,6511,7696,0,0,0,396,542,149,389,460,61,141,357,143,0.14977973568281938,0.7083333333333334,0.25325479270225704,0.9838734449393335,0.8323804573804574,0.8940123775410388,0.0,0.0,0.0,0.14760147601476015,0.5369127516778524,0.2501339902508835,0.1,0.7540983606557377,0.17824176710064898,0.1876750700280112,0.46853146853146854,0.30538674033149177,0.8191922934420156,0.7663320155605453,0.8191922934420156,0.7886351137764103
5,103,227,51,4367,6511,7680,0,0,0,396,542,184,389,460,65,141,357,117,0.15418502202643172,0.6862745098039216,0.2594925699865377,0.9835662724619874,0.8338541666666667,0.8935177903154695,0.0,0.0,0.0,0.15682656826568267,0.46195652173913043,0.26322349023658015,0.10217391304347827,0.7230769230769231,0.18167169615788473,0.15966386554621848,0.48717948717948717,0.2672084449513301,0.818574780783006,0.765496933792694,0.818574780783006,0.7832441261224192
8,103,227,53,4367,6511,7654,0,0,0,396,542,174,389,460,72,141,357,144,0.15418502202643172,0.660377358490566,0.2596101913557378,0.9823375825526033,0.8356414946433237,0.8944049781970151,0.0,0.0,0.0,0.16789667896678967,0.5229885057471264,0.27877721424652285,0.11956521739130435,0.7638888888888888,0.20872948696172233,0.19607843137254902,0.4861111111111111,0.3165486812059043,0.8209213288872422,0.770967397776094,0.8209213288872422,0.7903121844720931
12,103,227,48,4367,6511,7675,0,0,0,396,542,146,389,460,69,141,357,159,0.13656387665198239,0.6458333333333334,0.2342123367762356,0.9841806174166795,0.8349185667752443,0.8957552122834959,0.0,0.0,0.0,0.15867158671586715,0.589041095890411,0.26599264945093964,0.11739130434782609,0.782608695652174,0.20544010097932336,0.21288515406162464,0.4779874213836478,0.33817786599188887,0.8219093491416574,0.7712521116756884,0.8219093491416574,0.7944498874085275
15,103,227,45,4367,6511,7665,0,0,0,396,542,144,389,460,68,141,357,175,0.1277533039647577,0.6444444444444445,0.2211569345134324,0.9838734449393335,0.8357469015003262,0.8959944637469996,0.0,0.0,0.0,0.15682656826568267,0.5902777777777778,0.2634269939378287,0.11304347826086956,0.7647058823529411,0.19876922865004285,0.24649859943977592,0.5028571428571429,0.3793206556562193,0.8225268618006669,0.7723417719592267,0.8225268618006669,0.7952392523151071
20,103,227,44,4367,6511,7645,0,0,0,396,542,159,389,460,73,141,357,176,0.12334801762114538,0.6363636363636364,0.2145253247560016,0.9826447550299493,0.8368868541530412,0.8954846166246914,0.0,0.0,0.0,0.16236162361623616,0.5534591194968553,0.2711917109953691,0.12173913043478261,0.7671232876712328,0.21208791958674247,0.25210084033613445,0.5113636363636364,0.3859191655801825,0.8225268618006669,0.7733132123063474,0.8225268618006669,0.7939771799583645
30,103,227,41,4367,6511,7629,0,0,0,396,542,174,389,460,72,141,357,181,0.11013215859030837,0.6097560975609756,0.19422012587800638,0.9809553064045462,0.837200157294534,0.8940511719316573,0.0,0.0,0.0,0.16974169741697417,0.5287356321839081,0.2813375443527397,0.11956521739130435,0.7638888888888888,0.20874145879318046,0.2549019607843137,0.5027624309392266,0.3890542763342941,0.8212918364826479,0.7722185433810941,0.8212918364826479,0.7912652399245305
50,103,227,8,4367,6511,7827,0,0,0,396,542,126,389,460,46,141,357,90,0.02643171806167401,0.75,0.051211804336334064,0.9923206880663492,0.8254759166986074,0.8977057603646619,0.0,0.0,0.0,0.13837638376383765,0.5952380952380952,0.23677523265414477,0.0782608695652174,0.782608695652174,0.14287816098553494,0.16246498599439776,0.6444444444444445,0.27117411696571436,0.8195628010374213,0.7592259571726953,0.8195628010374213,0.7975311112647088
