K,west_germany_learning_set,west_germany_expected,west_germany_result,usa_learning_set,usa_expected,usa_result,france_learning_set,france_expected,france_result,uk_learning_set,uk_expected,uk_result,canada_learning_set,canada_expected,canada_result,japan_learning_set,japan_expected,japan_result,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
1,171,159,80,6626,4252,507,0,0,0,545,393,92,541,308,4478,211,287,242,0.3333333333333333,0.6625,0.23206954841825644,0.09454374412041393,0.7928994082840237,0.12349322392301214,0.0,0.0,0.0,0.13231552162849872,0.5652173913043478,0.15179345737757452,0.9155844155844156,0.06297454220634212,0.29804905785298486,0.5993031358885017,0.7107438016528925,0.274472262928261,0.14673452942168316,0.7264782087201724,0.17799592517132803,0.17799592517132803
2,171,159,107,6626,4252,5032,0,0,0,545,393,78,541,308,115,211,287,67,0.3584905660377358,0.5327102803738317,0.4981853447250053,0.980244590780809,0.8282988871224165,0.8907694066931843,0.0,0.0,0.0,0.10432569974554708,0.5256410256410257,0.18500596423506765,0.288961038961039,0.7739130434782608,0.42682413906991096,0.18118466898954705,0.7761194029850746,0.2965455172471802,0.769779723893045,0.7916866478512498,0.8162622707908872,0.8162622707908872
3,171,159,62,6626,4252,532,0,0,0,545,393,102,541,308,4474,211,287,229,0.20754716981132076,0.532258064516129,0.19291984354440422,0.09807149576669802,0.7838345864661654,0.12702073497095365,0.0,0.0,0.0,0.15521628498727735,0.5980392156862745,0.16678562596947147,0.9415584415584416,0.06481895395619133,0.3025312614922102,0.5993031358885017,0.7510917030567685,0.2771072268000354,0.1498467445558934,0.7201427416693287,0.180218558992406,0.180218558992406
5,171,159,52,6626,4252,5000,0,0,0,545,393,109,541,308,145,211,287,93,0.16352201257861634,0.5,0.27280010019684897,0.980244590780809,0.8336,0.8943965663065544,0.0,0.0,0.0,0.1628498727735369,0.5871559633027523,0.2718641291660767,0.36688311688311687,0.7793103448275862,0.5074011166020347,0.24041811846689895,0.7419354838709677,0.372064553855907,0.7809324114649211,0.7978667463707809,0.8223745137988516,0.8223745137988516
8,171,159,56,6626,4252,4988,0,0,0,545,393,115,541,308,142,211,287,98,0.16981132075471697,0.48214285714285715,0.2815400372373937,0.9793038570084666,0.834803528468324,0.8944423762155329,0.0,0.0,0.0,0.17557251908396945,0.6,0.28941262081629127,0.36038961038961037,0.7816901408450704,0.5012944344147302,0.25435540069686413,0.7448979591836735,0.38862091994573406,0.7830349878485195,0.7995168725688134,0.823115391739211,0.823115391739211
12,171,159,39,6626,4252,4860,0,0,0,545,393,109,541,308,148,211,287,243,0.15723270440251572,0.6410256410256411,0.26481793182341884,0.9743650047036688,0.8524691358024692,0.9014417274232911,0.0,0.0,0.0,0.1628498727735369,0.5871559633027523,0.27274027783006444,0.37012987012987014,0.7702702702702703,0.5135957733656368,0.6341463414634146,0.7489711934156379,0.7222089306856593,0.8052759152906783,0.8167386759930895,0.8386738284867568,0.8386738284867568
15,171,159,34,6626,4252,4848,0,0,0,545,393,121,541,308,150,211,287,246,0.1320754716981132,0.6176470588235294,0.22815689752769935,0.9722483537158984,0.8527227722772277,0.8996799258981535,0.0,0.0,0.0,0.17557251908396945,0.5702479338842975,0.2902706558871529,0.37012987012987014,0.76,0.5133175868654135,0.6341463414634146,0.7398373983739838,0.7216589805154531,0.8040396931935517,0.8139477461429108,0.8371920726060381,0.8371920726060381
20,171,159,27,6626,4252,4841,0,0,0,545,393,116,541,308,151,211,287,264,0.12578616352201258,0.7407407407407407,0.21878711222253336,0.9720131702728128,0.8537492253666598,0.9008607634484415,0.0,0.0,0.0,0.183206106870229,0.6206896551724138,0.3007681799830768,0.36688311688311687,0.7483443708609272,0.5105987557971488,0.6759581881533101,0.7348484848484849,0.7488707843396122,0.8067492764679561,0.8211228190213473,0.8394147064271161,0.8394147064271161
30,171,159,23,6626,4252,4842,0,0,0,545,393,123,541,308,152,211,287,259,0.1069182389937107,0.7391304347826086,0.18963899597952902,0.9715428033866416,0.8531598513011153,0.8998050690144953,0.0,0.0,0.0,0.1806615776081425,0.5772357723577236,0.2972375849099207,0.37337662337662336,0.756578947368421,0.5165724475829293,0.662020905923345,0.7335907335907336,0.7396615950964591,0.804653698153029,0.817851072741133,0.8379329505463975,0.8379329505463975
50,171,159,17,6626,4252,4858,0,0,0,545,393,129,541,308,151,211,287,244,0.08176100628930817,0.7647058823529411,0.14892607745163247,0.9708372530573848,0.8497324001646768,0.8973635844131774,0.0,0.0,0.0,0.1806615776081425,0.5503875968992248,0.29700367000851213,0.37012987012987014,0.7549668874172185,0.5127591603011508,0.6202090592334495,0.7295081967213115,0.7114723983546838,0.7997988607619065,0.8136416707092495,0.8342285608446008,0.8342285608446008
