K;west_germany_learning_set;west_germany_expected;west_germany_result;usa_learning_set;usa_expected;usa_result;france_learning_set;france_expected;france_result;uk_learning_set;uk_expected;uk_result;canada_learning_set;canada_expected;canada_result;japan_learning_set;japan_expected;japan_result;west_germany_recall;west_germany_precision;west_germany_f1;usa_recall;usa_precision;usa_f1;france_recall;france_precision;france_f1;uk_recall;uk_precision;uk_f1;canada_recall;canada_precision;canada_f1;japan_recall;japan_precision;japan_f1;accuracy;recall;precision;f1
1;192;138;99;6495;4383;4940;0;0;0;619;319;84;521;328;64;267;231;212;0,39855072463768115;0,5555555555555556;0,5404825225697965;0,9710244125028519;0,8615384615384616;0,9004358816952563;0,0;0,0;0,0;0,15047021943573669;0,5714285714285714;0,25519514798869114;0,11890243902439024;0,609375;0,20829942659557102;0,5800865800865801;0,6320754716981132;0,6860623670466651;0,8394147064271161;0,8114391353653865;0,8018905220419446;0,8394147064271161
2;192;138;36;6495;4383;5072;0;0;0;619;319;77;521;328;32;267;231;182;0,18840579710144928;0,7222222222222222;0,3076275132496586;0,9838010495094685;0,8501577287066246;0,9049190511209229;0,0;0,0;0,0;0,11285266457680251;0,4675324675324675;0,19891021322366648;0,07621951219512195;0,78125;0,13972650305618903;0,5367965367965368;0,6813186813186813;0,6543260792083481;0,8377477310613076;0,8128700618846592;0,790728796667784;0,8377477310613076
3;192;138;49;6495;4383;546;0;0;0;619;319;4440;521;328;155;267;231;209;0,2391304347826087;0,673469387755102;0,2105034926799838;0,10244125028519278;0,8223443223443223;0,13261804048831816;0,0;0,0;0,0;0,8338557993730408;0,05990990990990991;0,3068209389182116;0,38414634146341464;0,8129032258064516;0,2524491854472095;0,6103896103896104;0,6746411483253588;0,28745917543415644;0,18799777736617893;0,7665974374762555;0,15880656331117252;0,18799777736617893
5;192;138;42;6495;4383;4783;0;0;0;619;319;205;521;328;153;267;231;216;0,21014492753623187;0,6904761904761905;0,3366551561544806;0,9598448551220625;0,8795734894417729;0,8992759172936663;0,0;0,0;0,0;0,20376175548589343;0,3170731707317073;0,32841430063369564;0,3780487804878049;0,8104575163398693;0,5225564395428365;0,6147186147186147;0,6574074074074074;0,7120131091025369;0,8458973884052602;0,8278003031011314;0,8202671715729475;0,8458973884052602
8;192;138;40;6495;4383;4888;0;0;0;619;319;92;521;328;154;267;231;225;0,1956521739130435;0,675;0,3184210425443018;0,974218571754506;0,8735679214402619;0,9106039505536747;0,0;0,0;0,0;0,15047021943573669;0,5217391304347826;0,2558947218248094;0,38109756097560976;0,8116883116883117;0,5271646878476831;0,6277056277056277;0,6444444444444445;0,7238550072474742;0,8547879236895721;0,8341421402448224;0,8254991960915338;0,8547879236895721
12;192;138;31;6495;4383;4877;0;0;0;619;319;95;521;328;159;267;231;237;0,15942028985507245;0,7096774193548387;0,2686680268143398;0,972621492128679;0,874102932130408;0,9092756714551322;0,0;0,0;0,0;0,16300940438871472;0,5473684210526316;0,27374688681276443;0,3871951219512195;0,7987421383647799;0,5327535638303924;0,6277056277056277;0,6118143459915611;0,7234562395062824;0,8536766067790331;0,8347945354736125;0,8245264443126161;0,8536766067790331
15;192;138;30;6495;4383;4874;0;0;0;619;319;97;521;328;161;267;231;237;0,14492753623188406;0,6666666666666666;0,2477493233171719;0,971937029431896;0,8740254411161263;0,9084512052505436;0,0;0,0;0,0;0,16300940438871472;0,5360824742268041;0,2736992290033748;0,3871951219512195;0,7888198757763976;0,5325730888953153;0,6277056277056277;0,6118143459915611;0,7231234757327719;0,852750509353584;0,8323626321298466;0,8232944229181168;0,852750509353584
20;192;138;32;6495;4383;4868;0;0;0;619;319;95;521;328;164;267;231;240;0,15942028985507245;0,6875;0,26865885233780584;0,9721651836641569;0,8753081347576006;0,90897118821088;0,0;0,0;0,0;0,16300940438871472;0,5473684210526316;0,27373736219797795;0,3871951219512195;0,774390243902439;0,5327174903975564;0,6320346320346321;0,6083333333333333;0,7262560303815725;0,8534913872939434;0,8335777145690595;0,8243960618560104;0,8534913872939434
30;192;138;37;6495;4383;4965;0;0;0;619;319;101;521;328;164;267;231;132;0,18115942028985507;0,6756756756756757;0,2981675746369977;0,9753593429158111;0,8610271903323263;0,9037911429849195;0,0;0,0;0,0;0,1724137931034483;0,5445544554455446;0,2862197709486303;0,3871951219512195;0,774390243902439;0,5304597059576132;0,27705627705627706;0,48484848484848486;0,4169261612052202;0,8420077792183738;0,8162323189029372;0,8083105276399194;0,8420077792183738
50;192;138;61;6495;4383;4845;0;0;0;619;319;100;521;328;159;267;231;234;0,2971014492753623;0,6721311475409836;0,4408196012076418;0,9694273328770249;0,8769865841073271;0,9079821362735965;0,0;0,0;0,0;0,16614420062695925;0,53;0,2781634359611029;0,3719512195121951;0,7672955974842768;0,5181784427375139;0,6277056277056277;0,6196581196581197;0,7235227423400703;0,853861826264123;0,8335747875752804;0,8272549040607298;0,853861826264123
