K,west_germany_learning_set,west_germany_expected,west_germany_result,usa_learning_set,usa_expected,usa_result,france_learning_set,france_expected,france_result,uk_learning_set,uk_expected,uk_result,canada_learning_set,canada_expected,canada_result,japan_learning_set,japan_expected,japan_result,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
1,68,262,10,2216,8662,10643,0,0,0,206,732,27,130,719,17,78,420,98,0.015267175572519083,0.4,0.029968271414648386,0.996536596628954,0.8110495161138777,0.8925683635640277,0.0,0.0,0.0,0.01366120218579235,0.37037037037037035,0.026868268497917517,0.01808066759388039,0.7647058823529411,0.03537009578069138,0.15714285714285714,0.673469387755102,0.2631272318521717,0.8082445576655859,0.8082445576655859,0.762751523108701,0.7313470089010607
2,68,262,16,2216,8662,10657,0,0,0,206,732,37,130,719,10,78,420,75,0.015267175572519083,0.25,0.029967697737466322,0.9967674901870238,0.8101717181195458,0.8921522469955933,0.0,0.0,0.0,0.023224043715846996,0.4594594594594595,0.04514942729073423,0.012517385257301807,0.9,0.024652578685689205,0.12380952380952381,0.6933333333333334,0.21469709099349607,0.8074108383510885,0.8074108383510885,0.7742317505026244,0.7296546237473035
3,68,262,6,2216,8662,10621,0,0,0,206,732,20,130,719,27,78,420,121,0.007633587786259542,0.3333333333333333,0.015124687460013901,0.996536596628954,0.8127294981640147,0.8938096651370804,0.0,0.0,0.0,0.01366120218579235,0.5,0.026869391778586625,0.03616133518776078,0.9629629629629629,0.06923293884421707,0.18333333333333332,0.6363636363636364,0.299012531756699,0.8102825382121353,0.8102825382121353,0.7830328248330827,0.7356344723187258
5,68,262,0,2216,8662,10621,0,0,0,206,732,25,130,719,27,78,420,122,0.0,0.0,0.0,0.996536596628954,0.8127294981640147,0.8936969352631002,0.0,0.0,0.0,0.01366120218579235,0.4,0.026869289891831516,0.03616133518776078,0.9629629629629629,0.06923226241088863,0.18333333333333332,0.6311475409836066,0.29899991452260877,0.8100972672533581,0.8100972672533581,0.7679588004335508,0.7351763903865418
8,68,262,0,2216,8662,10649,0,0,0,206,732,25,130,719,0,78,420,121,0.0,0.0,0.0,0.996536596628954,0.8105925439008358,0.8922293400835527,0.0,0.0,0.0,0.01366120218579235,0.4,0.026867961181204197,0.0,0.0,0.0,0.18333333333333332,0.6363636363636364,0.29883546118074106,0.8076887447892542,0.8076887447892542,0.7023089710552818,0.7293810824533845
12,68,262,0,2216,8662,10715,0,0,0,206,732,25,130,719,0,78,420,55,0.0,0.0,0.0,0.997460170861233,0.8063462435837611,0.8900478654214852,0.0,0.0,0.0,0.01366120218579235,0.4,0.02686564298056871,0.0,0.0,0.0,0.05714285714285714,0.43636363636363634,0.10669782889476598,0.803520148216767,0.803520148216767,0.6911203232232761,0.7201550114940698
15,68,262,0,2216,8662,10759,0,0,0,206,732,25,130,719,0,78,420,11,0.0,0.0,0.0,0.9988455322096513,0.8041639557579701,0.8900296705337597,0.0,0.0,0.0,0.01366120218579235,0.4,0.026865124609340964,0.0,0.0,0.0,0.004761904761904762,0.18181818181818182,0.009467636669608002,0.802593793422881,0.802593793422881,0.679465661986028,0.7163574511142843
20,68,262,0,2216,8662,10760,0,0,0,206,732,25,130,719,0,78,420,10,0.0,0.0,0.0,0.9988455322096513,0.804089219330855,0.8900296705337597,0.0,0.0,0.0,0.01366120218579235,0.4,0.026865124609340964,0.0,0.0,0.0,0.004761904761904762,0.2,0.009467636669608002,0.802593793422881,0.802593793422881,0.6801130910462128,0.7163574511142843
30,68,262,0,2216,8662,10760,0,0,0,206,732,25,130,719,0,78,420,10,0.0,0.0,0.0,0.9988455322096513,0.804089219330855,0.8900296705337597,0.0,0.0,0.0,0.01366120218579235,0.4,0.026865124609340964,0.0,0.0,0.0,0.004761904761904762,0.2,0.009467636669608002,0.802593793422881,0.802593793422881,0.6801130910462128,0.7163574511142843
50,68,262,0,2216,8662,10770,0,0,0,206,732,25,130,719,0,78,420,0,0.0,0.0,0.0,0.9994227661048257,0.8038068709377901,0.8904296942091425,0.0,0.0,0.0,0.01366120218579235,0.4,0.026865280244208402,0.0,0.0,0.0,0.0,0.0,0.0,0.8028716998610468,0.8028716998610468,0.6721051520206706,0.7163100876682125
