K,west_germany_learning_set,west_germany_expected,west_germany_result,usa_learning_set,usa_expected,usa_result,france_learning_set,france_expected,france_result,uk_learning_set,uk_expected,uk_result,canada_learning_set,canada_expected,canada_result,japan_learning_set,japan_expected,japan_result,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
1,192,138,50,6495,4383,5106,0,0,0,619,319,97,521,328,55,267,231,91,0.2246376811594203,0.62,0.353188775999172,0.9810631987223363,0.8421464943204073,0.8967067658853628,0.0,0.0,0.0,0.1536050156739812,0.5051546391752577,0.25902423320030854,0.10060975609756098,0.6,0.17936455393866463,0.19480519480519481,0.4945054945054945,0.3152379134050362,0.7766782863572465,0.8257084645304686,0.7869722511083574,0.8257084645304686
2,192,138,50,6495,4383,5022,0,0,0,619,319,146,521,328,57,267,231,124,0.21014492753623187,0.58,0.3347037302455399,0.9721651836641569,0.8484667463162087,0.8906920697975219,0.0,0.0,0.0,0.18808777429467086,0.410958904109589,0.3061155850226206,0.10975609756097561,0.631578947368421,0.19364975450081834,0.22077922077922077,0.4112903225806452,0.34805459679949796,0.7763773031405059,0.8218188553435821,0.7838732355561904,0.8218188553435821
3,192,138,41,6495,4383,5097,0,0,0,619,319,102,521,328,49,267,231,110,0.1956521739130435,0.6585365853658537,0.3164951901323943,0.9819758156513804,0.8444182852658426,0.8982888772502872,0.0,0.0,0.0,0.13793103448275862,0.43137254901960786,0.2364597181161002,0.12195121951219512,0.8163265306122449,0.21258276885607733,0.23376623376623376,0.4909090909090909,0.3645724515346877,0.779820433375555,0.8277458788664568,0.7984305127391641,0.8277458788664568
5,192,138,45,6495,4383,5078,0,0,0,619,319,112,521,328,50,267,231,114,0.2028985507246377,0.6222222222222222,0.32605287582837844,0.9815195071868583,0.8471839306813707,0.8991870004063421,0.0,0.0,0.0,0.16300940438871472,0.4642857142857143,0.27247888185714475,0.125,0.82,0.21726370934491038,0.24242424242424243,0.49122807017543857,0.37520615291179543,0.7836613819124836,0.8295980737173551,0.8019289983165001,0.8295980737173551
8,192,138,39,6495,4383,5079,0,0,0,619,319,106,521,328,57,267,231,118,0.1956521739130435,0.6923076923076923,0.3166707881442753,0.9812913529545974,0.8468202402047648,0.8994174713795096,0.0,0.0,0.0,0.15673981191222572,0.4716981132075472,0.2636923518627906,0.1402439024390244,0.8070175438596491,0.23995111874072567,0.2510822510822511,0.4915254237288136,0.38555296169624553,0.7849105217935397,0.8301537321726246,0.803087127196976,0.8301537321726246
12,192,138,33,6495,4383,5079,0,0,0,619,319,116,521,328,57,267,231,114,0.16666666666666666,0.696969696969697,0.2775902121728357,0.9810631987223363,0.846623351053357,0.8992129279306387,0.0,0.0,0.0,0.1755485893416928,0.4827586206896552,0.2898007429337278,0.1402439024390244,0.8070175438596491,0.2399433800393686,0.24242424242424243,0.49122807017543857,0.37524402690183967,0.7848466286836336,0.8299685126875347,0.8036872392008101,0.8299685126875347
15,192,138,32,6495,4383,5102,0,0,0,619,319,105,521,328,55,267,231,105,0.15942028985507245,0.6875,0.2674657738660473,0.9831165868126853,0.8445707565660525,0.9000744770119059,0.0,0.0,0.0,0.16300940438871472,0.49523809523809526,0.27249885538832885,0.13414634146341464,0.8,0.23096260580885644,0.23376623376623376,0.5142857142857142,0.3647875826230894,0.7832719967951128,0.8299685126875347,0.8030764175606521,0.8299685126875347
20,192,138,31,6495,4383,5091,0,0,0,619,319,110,521,328,55,267,231,112,0.15217391304347827,0.6774193548387096,0.2571474297157442,0.9815195071868583,0.845020624631703,0.8988605059852529,0.0,0.0,0.0,0.16614420062695925,0.4818181818181818,0.27681358886948654,0.13414634146341464,0.8,0.23092671327162595,0.24242424242424243,0.5,0.37514929282346776,0.7827188232040779,0.8290424152620856,0.8017798238059819,0.8290424152620856
30,192,138,31,6495,4383,5087,0,0,0,619,319,114,521,328,54,267,231,113,0.15217391304347827,0.6774193548387096,0.25717414396272764,0.9812913529545974,0.8454885000982898,0.8990912467391676,0.0,0.0,0.0,0.18495297805642633,0.5175438596491229,0.30247198316070917,0.13109756097560976,0.7962962962962963,0.22641569322664437,0.23809523809523808,0.48672566371681414,0.37000016521552365,0.7839284894417523,0.8295980737173551,0.8034775461438017,0.8295980737173551
50,192,138,16,6495,4383,5128,0,0,0,619,319,115,521,328,48,267,231,92,0.08695652173913043,0.75,0.15737993573095038,0.9838010495094685,0.8408736349453978,0.8990518010880582,0.0,0.0,0.0,0.1786833855799373,0.4956521739130435,0.2939191878866059,0.11280487804878049,0.7708333333333334,0.1985512684656234,0.22077922077922077,0.5543478260869565,0.34858314827390013,0.7782311945811544,0.8277458788664568,0.801639167735388,0.8277458788664568
