K,west_germany_learning_set,west_germany_expected,west_germany_result,usa_learning_set,usa_expected,usa_result,france_learning_set,france_expected,france_result,uk_learning_set,uk_expected,uk_result,canada_learning_set,canada_expected,canada_result,japan_learning_set,japan_expected,japan_result,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
1,150,180,26,5430,5448,458,0,0,0,518,420,5935,456,393,43,192,306,285,0.10555555555555556,0.7307692307692307,0.11791041178070964,0.052679882525697504,0.6266375545851528,0.07555459524908338,0.0,0.0,0.0,0.8976190476190476,0.06352148272957034,0.23249313236407868,0.07633587786259542,0.6976744186046512,0.09714233346450962,0.6143790849673203,0.6596491228070176,0.21939433031418096,0.13354083296279828,0.0942350714033109,0.13354083296279828,0.5999966740411099
2,150,180,14,5430,5448,6472,0,0,0,518,420,109,456,393,40,192,306,112,0.07222222222222222,0.9285714285714286,0.1328110437435896,0.9895374449339207,0.832972805933251,0.8995200246621563,0.0,0.0,0.0,0.14761904761904762,0.5688073394495413,0.25040602241780996,0.07633587786259542,0.75,0.1397347225588811,0.21895424836601307,0.5982142857142857,0.3460208222799974,0.824514599081073,0.7692989075488473,0.824514599081073,0.8035988376855768
3,150,180,67,5430,5448,6111,0,0,0,518,420,100,456,393,182,192,306,287,0.24444444444444444,0.6567164179104478,0.3794442081640409,0.9722834067547724,0.8667975781377844,0.9056064937629505,0.0,0.0,0.0,0.1357142857142857,0.57,0.2339624835659671,0.34096692111959287,0.7362637362637363,0.48628744202341145,0.6078431372549019,0.6480836236933798,0.7079347012131196,0.8474877723432637,0.8163698476173415,0.8474877723432637,0.825194515802631
5,150,180,67,5430,5448,6099,0,0,0,518,420,101,456,393,189,192,306,291,0.24444444444444444,0.6567164179104478,0.3794442081640409,0.9715491923641704,0.8678471880636169,0.9052878822515142,0.0,0.0,0.0,0.14047619047619048,0.5841584158415841,0.24100444593987858,0.3435114503816794,0.7142857142857143,0.4888697629748269,0.6111111111111112,0.6426116838487973,0.7101461547580742,0.8474877723432637,0.8168016522121838,0.8474877723432637,0.8253950543085737
8,150,180,15,5430,5448,6151,0,0,0,518,420,108,456,393,180,192,306,293,0.07777777777777778,0.9333333333333333,0.14246278484982955,0.9752202643171806,0.8637619899203381,0.906199070654898,0.0,0.0,0.0,0.14285714285714285,0.5555555555555556,0.2444506282509579,0.34096692111959287,0.7444444444444445,0.48609205216560436,0.6176470588235294,0.6450511945392492,0.7141176855940707,0.8463020601748925,0.8114479458068955,0.8463020601748925,0.8295629148680912
12,150,180,12,5430,5448,6158,0,0,0,518,420,104,456,393,180,192,306,293,0.06111111111111111,0.9166666666666666,0.11399098199029598,0.9757709251101322,0.8632672945761611,0.9064367353542506,0.0,0.0,0.0,0.14285714285714285,0.5769230769230769,0.2444506282509579,0.34096692111959287,0.7444444444444445,0.48609205216560436,0.6176470588235294,0.6450511945392492,0.7141176855940707,0.8463020601748925,0.8108802672486262,0.8463020601748925,0.8300489469918919
15,150,180,7,5430,5448,6160,0,0,0,518,420,104,456,393,180,192,306,296,0.03333333333333333,0.8571428571428571,0.06413738423387709,0.9754038179148311,0.8626623376623377,0.9056830887301744,0.0,0.0,0.0,0.14285714285714285,0.5769230769230769,0.24440730264849575,0.34096692111959287,0.7444444444444445,0.485920765618875,0.6176470588235294,0.6385135135135135,0.7137480668317496,0.8452645620275678,0.8089122621928544,0.8452645620275678,0.8276759484185008
20,150,180,10,5430,5448,6157,0,0,0,518,420,103,456,393,181,192,306,296,0.05555555555555555,1.0,0.10426427742919508,0.9754038179148311,0.8630826701315576,0.9061083146770801,0.0,0.0,0.0,0.14285714285714285,0.5825242718446602,0.24443825878423228,0.3435114503816794,0.7458563535911602,0.48862286384436204,0.6176470588235294,0.6385135135135135,0.714012133703043,0.8460056321327998,0.8104974411429273,0.8460056321327998,0.8322574867567726
30,150,180,57,5430,5448,6110,0,0,0,518,420,103,456,393,180,192,306,297,0.18888888888888888,0.5964912280701754,0.3088652769892124,0.9719162995594713,0.8666121112929623,0.9049394323447665,0.0,0.0,0.0,0.14285714285714285,0.5825242718446602,0.24446299030622068,0.34096692111959287,0.7444444444444445,0.4861409362084833,0.6176470588235294,0.6363636363636364,0.714223194748359,0.8465984882169854,0.814878600670504,0.8465984882169854,0.8241626407211187
50,150,180,57,5430,5448,6088,0,0,0,518,420,102,456,393,181,192,306,319,0.18888888888888888,0.5964912280701754,0.30881592286843357,0.9702643171806168,0.8682654402102497,0.9037998436643762,0.0,0.0,0.0,0.14285714285714285,0.5882352941176471,0.2444320712694877,0.3435114503816794,0.7458563535911602,0.48859814008705976,0.6274509803921569,0.6018808777429467,0.7204656768469371,0.8458574181117534,0.8143814214469247,0.8458574181117534,0.8243714922777755
