K,west_germany_learning_set,west_germany_expected,west_germany_result,usa_learning_set,usa_expected,usa_result,france_learning_set,france_expected,france_result,uk_learning_set,uk_expected,uk_result,canada_learning_set,canada_expected,canada_result,japan_learning_set,japan_expected,japan_result,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
1,264,66,27,8717,2161,2442,0,0,0,740,198,58,694,155,73,377,121,101,0.30303030303030304,0.7407407407407407,0.4463266361569462,0.974086071263304,0.861998361998362,0.9059503498932799,0.0,0.0,0.0,0.16161616161616163,0.5517241379310345,0.27142480964584675,0.36129032258064514,0.7671232876712328,0.5064726806804273,0.6115702479338843,0.7326732673267327,0.7101873474877307,0.8165102965446485,0.8467234357645317,0.8467234357645317,0.8250523152214992
2,264,66,40,8717,2161,2475,0,0,0,740,198,38,694,155,63,377,121,85,0.3333333333333333,0.55,0.4775210084033613,0.978250809810273,0.8541414141414141,0.9047603401548899,0.0,0.0,0.0,0.09090909090909091,0.47368421052631576,0.16409182789488883,0.33548387096774196,0.8253968253968254,0.4797236827953171,0.5537190082644629,0.788235294117647,0.6679429824561405,0.8050247816597534,0.8415401703072936,0.8415401703072936,0.8142177149828025
3,264,66,40,8717,2161,2436,0,0,0,740,198,57,694,155,71,377,121,97,0.3333333333333333,0.55,0.4780559338011941,0.971772327626099,0.8620689655172413,0.9038900544367323,0.0,0.0,0.0,0.15151515151515152,0.5263157894736842,0.25695015257119047,0.36774193548387096,0.8028169014084507,0.512438271544142,0.6033057851239669,0.7525773195876289,0.7039415163904118,0.8146386838394428,0.8448722695298038,0.8448722695298038,0.8215253743750317
5,264,66,32,8717,2161,2442,0,0,0,740,198,52,694,155,73,377,121,102,0.3181818181818182,0.65625,0.46238160653604227,0.973623322535863,0.8615888615888616,0.9051142953684789,0.0,0.0,0.0,0.14646464646464646,0.5576923076923077,0.24968288283533846,0.36774193548387096,0.7808219178082192,0.5125743882104898,0.6033057851239669,0.7156862745098039,0.7041984047709048,0.8147217424190907,0.8456127360236949,0.8456127360236949,0.82312274834971
8,264,66,37,8717,2161,2428,0,0,0,740,198,61,694,155,69,377,121,106,0.3181818181818182,0.5675675675675675,0.4624369371322838,0.971309578898658,0.8644975288303131,0.9043248017117295,0.0,0.0,0.0,0.1717171717171717,0.5573770491803278,0.2854864551026708,0.36129032258064514,0.8115942028985508,0.5063401334702462,0.6198347107438017,0.7075471698113207,0.7154636162484868,0.8168629658326775,0.8459829692706405,0.8459829692706405,0.824661082560502
12,264,66,30,8717,2161,2428,0,0,0,740,198,61,694,155,70,377,121,112,0.2878787878787879,0.6333333333333333,0.4298154194182526,0.971309578898658,0.8644975288303131,0.9053813732395725,0.0,0.0,0.0,0.18181818181818182,0.5901639344262295,0.29942468619246865,0.36129032258064514,0.8,0.5066711971015753,0.6611570247933884,0.7142857142857143,0.7429486789545187,0.8191832205933619,0.8478341355053683,0.8478341355053683,0.8283081044973238
15,264,66,27,8717,2161,2424,0,0,0,740,198,61,694,155,75,377,121,114,0.2727272727272727,0.6666666666666666,0.41291831594098594,0.971309578898658,0.865924092409241,0.9064357966125168,0.0,0.0,0.0,0.18181818181818182,0.5901639344262295,0.2995399223415016,0.38064516129032255,0.7866666666666666,0.5257589053435945,0.6859504132231405,0.7280701754385965,0.7590888622334513,0.8214408191832197,0.8496853017400963,0.8496853017400963,0.8301163447886585
20,264,66,27,8717,2161,2411,0,0,0,740,198,67,694,155,78,377,121,118,0.2727272727272727,0.6666666666666666,0.41265548945375885,0.966682091624248,0.8664454583160515,0.9031557331920033,0.0,0.0,0.0,0.1919191919191919,0.5671641791044776,0.3129636958946497,0.3870967741935484,0.7692307692307693,0.5314449894070872,0.6942148760330579,0.711864406779661,0.7632226065935898,0.8203056357922734,0.8474639022584228,0.8474639022584228,0.8271208831302415
30,264,66,26,8717,2161,2416,0,0,0,740,198,66,694,155,78,377,121,115,0.2727272727272727,0.6923076923076923,0.4128745837957824,0.968995835261453,0.8667218543046358,0.9052167728800324,0.0,0.0,0.0,0.1919191919191919,0.5757575757575758,0.3130897009966777,0.3935483870967742,0.782051282051282,0.5378653203441656,0.6859504132231405,0.7217391304347827,0.7589410810412212,0.8221458441247492,0.8493150684931506,0.8493150684931506,0.8297766080507897
50,264,66,25,8717,2161,2413,0,0,0,740,198,70,694,155,78,377,121,115,0.25757575757575757,0.68,0.39499337088982467,0.967144840351689,0.8661417322834646,0.9029367930265865,0.0,0.0,0.0,0.18181818181818182,0.5142857142857142,0.2993553453974279,0.3935483870967742,0.782051282051282,0.5373445341899601,0.6859504132231405,0.7217391304347827,0.7579046136032422,0.8188016259323615,0.8467234357645317,0.8467234357645317,0.8245054566433527
