longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,distance_LA,distance_SF,ratio_population_households,ratio_rooms_bedrooms
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY,556.5291583418002,20.329378860804642,2.5555555555555554,6.821705426356589
-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,NEAR BAY,554.279850068765,19.908287156628063,2.109841827768014,6.418625678119349
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,NEAR BAY,554.6107170693778,17.835639174009682,2.8022598870056497,7.721052631578948
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,NEAR BAY,555.1942660862916,17.064293178066904,2.547945205479452,5.421276595744681
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,NEAR BAY,555.1942660862916,17.064293178066904,2.1814671814671813,5.810714285714286
-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,NEAR BAY,555.1942660862916,17.064293178066904,2.139896373056995,4.314553990610329
-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,NEAR BAY,554.3644069356486,16.549668909295598,2.1284046692607004,5.184049079754601
-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,NEAR BAY,554.3644069356486,16.549668909295598,1.7882534775888717,4.518195050946143
-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,NEAR BAY,554.9497495185724,15.764249850320764,2.026890756302521,3.8421052631578947
-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,NEAR BAY,554.3644069356486,16.549668909295598,2.172268907563025,5.01980198019802
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,NEAR BAY,555.7786576692679,16.303790158234133,2.263681592039801,5.073732718894009
-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,NEAR BAY,555.7786576692679,16.303790158234133,2.0490463215258856,4.658244680851064
-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,NEAR BAY,555.7786576692679,16.303790158234133,2.3461538461538463,5.255274261603375
-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,NEAR BAY,554.9497495185724,15.764249850320764,1.9827586206896552,3.643979057591623
-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,159200.0,NEAR BAY,555.7786576692679,16.303790158234133,1.9548387096774194,4.222044728434505
-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,140000.0,NEAR BAY,555.7786576692679,16.303790158234133,2.640151515151515,3.9575971731448765
-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,NEAR BAY,556.3638891571288,15.555720510672382,2.395770392749245,5.665706051873199
-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,155500.0,NEAR BAY,556.3638891571288,15.555720510672382,2.1386138613861387,4.191126279863481
-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,158700.0,NEAR BAY,554.9497495185724,15.764249850320764,2.3627684964200477,4.920879120879121
-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,162900.0,NEAR BAY,555.5359314478644,14.989169760075029,2.5090909090909093,5.043624161073826
-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,147500.0,NEAR BAY,556.3638891571288,15.555720510672382,2.463855421686747,4.081521739130435
-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,159800.0,NEAR BAY,556.3638891571288,15.555720510672382,2.5382513661202184,4.4659400544959125
-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,113900.0,NEAR BAY,555.5359314478644,14.989169760075029,2.1234309623430963,4.502772643253235
-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,99700.0,NEAR BAY,555.5359314478644,14.989169760075029,2.624615384615385,5.008902077151335
-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,132600.0,NEAR BAY,555.5359314478644,14.989169760075029,2.3838862559241707,5.089244851258581
-122.28,37.85,41.0,535.0,123.0,317.0,119.0,2.4038,107500.0,NEAR BAY,556.9499578960575,14.821966913576716,2.6638655462184873,4.349593495934959
-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,93800.0,NEAR BAY,556.9499578960575,14.821966913576716,2.5397489539748954,4.631147540983607
-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,1.808,105500.0,NEAR BAY,556.9499578960575,14.821966913576716,2.7758186397984885,4.508313539192399
-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424,108900.0,NEAR BAY,556.1229500632219,14.226118639291192,2.3911205073995774,4.2317073170731705
-122.28,37.84,52.0,729.0,160.0,395.0,155.0,1.6875,132000.0,NEAR BAY,556.1229500632219,14.226118639291192,2.5483870967741935,4.55625
-122.28,37.84,49.0,1916.0,447.0,863.0,378.0,1.9274,122300.0,NEAR BAY,556.1229500632219,14.226118639291192,2.2830687830687832,4.286353467561521
-122.28,37.84,52.0,2153.0,481.0,1168.0,441.0,1.9615,115200.0,NEAR BAY,556.1229500632219,14.226118639291192,2.6485260770975056,4.476091476091476
-122.27,37.84,48.0,1922.0,409.0,1026.0,335.0,1.7969,110400.0,NEAR BAY,555.5359314478644,14.989169760075029,3.062686567164179,4.699266503667482
-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,104900.0,NEAR BAY,554.708964381727,14.485953141798545,2.291793313069909,4.521857923497268
-122.27,37.83,51.0,2665.0,574.0,1258.0,536.0,2.7303,109700.0,NEAR BAY,554.708964381727,14.485953141798545,2.3470149253731343,4.642857142857143
-122.27,37.83,49.0,1215.0,282.0,570.0,264.0,1.4861,97200.0,NEAR BAY,554.708964381727,14.485953141798545,2.159090909090909,4.308510638297872
-122.27,37.83,48.0,1798.0,432.0,987.0,374.0,1.0972,104500.0,NEAR BAY,554.708964381727,14.485953141798545,2.6390374331550803,4.162037037037037
-122.28,37.83,52.0,1511.0,390.0,901.0,403.0,1.4103,103900.0,NEAR BAY,555.2969346429992,13.69478218827051,2.235732009925558,3.8743589743589744
-122.26,37.83,52.0,1470.0,330.0,689.0,309.0,3.48,191400.0,NEAR BAY,554.1218302312928,15.286674966070743,2.2297734627831716,4.454545454545454
-122.26,37.83,52.0,2432.0,715.0,1377.0,696.0,2.5898,176000.0,NEAR BAY,554.1218302312928,15.286674966070743,1.978448275862069,3.4013986013986015
-122.26,37.83,52.0,1665.0,419.0,946.0,395.0,2.0978,155400.0,NEAR BAY,554.1218302312928,15.286674966070743,2.3949367088607594,3.9737470167064437
-122.26,37.83,51.0,936.0,311.0,517.0,249.0,1.2852,150000.0,NEAR BAY,554.1218302312928,15.286674966070743,2.076305220883534,3.009646302250804
-122.26,37.84,49.0,713.0,202.0,462.0,189.0,1.025,118800.0,NEAR BAY,554.9497495185724,15.764249850320764,2.4444444444444446,3.5297029702970297
-122.26,37.84,52.0,950.0,202.0,467.0,198.0,3.9643,188800.0,NEAR BAY,554.9497495185724,15.764249850320764,2.3585858585858586,4.702970297029703
-122.26,37.83,52.0,1443.0,311.0,660.0,292.0,3.0125,184400.0,NEAR BAY,554.1218302312928,15.286674966070743,2.26027397260274,4.639871382636656
-122.26,37.83,52.0,1656.0,420.0,718.0,382.0,2.6768,182300.0,NEAR BAY,554.1218302312928,15.286674966070743,1.8795811518324608,3.942857142857143
-122.26,37.83,50.0,1125.0,322.0,616.0,304.0,2.026,142500.0,NEAR BAY,554.1218302312928,15.286674966070743,2.026315789473684,3.4937888198757765
-122.27,37.82,43.0,1007.0,312.0,558.0,253.0,1.7348,137500.0,NEAR BAY,553.8829923959378,14.052876061372311,2.205533596837945,3.2275641025641026
-122.26,37.82,40.0,624.0,195.0,423.0,160.0,0.9506,187500.0,NEAR BAY,553.2949042464921,14.877034249091144,2.64375,3.2
-122.27,37.82,40.0,946.0,375.0,700.0,352.0,1.775,112500.0,NEAR BAY,553.8829923959378,14.052876061372311,1.9886363636363635,2.522666666666667
-122.27,37.82,21.0,896.0,453.0,735.0,438.0,0.9218,171900.0,NEAR BAY,553.8829923959378,14.052876061372311,1.678082191780822,1.9779249448123621
-122.27,37.82,43.0,1868.0,456.0,1061.0,407.0,1.5045,93800.0,NEAR BAY,553.8829923959378,14.052876061372311,2.6068796068796067,4.0964912280701755
-122.27,37.82,41.0,3221.0,853.0,1959.0,720.0,1.1108,97500.0,NEAR BAY,553.8829923959378,14.052876061372311,2.720833333333333,3.776084407971864
-122.27,37.82,52.0,1630.0,456.0,1162.0,400.0,1.2475,104200.0,NEAR BAY,553.8829923959378,14.052876061372311,2.905,3.574561403508772
-122.28,37.82,52.0,1170.0,235.0,701.0,233.0,1.6098,87500.0,NEAR BAY,554.4719160707051,13.235729149621601,3.0085836909871246,4.9787234042553195
-122.28,37.82,52.0,945.0,243.0,576.0,220.0,1.4113,83100.0,NEAR BAY,554.4719160707051,13.235729149621601,2.618181818181818,3.888888888888889
-122.28,37.82,52.0,1238.0,288.0,622.0,259.0,1.5057,87500.0,NEAR BAY,554.4719160707051,13.235729149621601,2.4015444015444016,4.298611111111111
-122.28,37.82,52.0,1489.0,335.0,728.0,244.0,0.8172,85300.0,NEAR BAY,554.4719160707051,13.235729149621601,2.9836065573770494,4.444776119402985
-122.28,37.82,52.0,1387.0,341.0,1074.0,304.0,1.2171,80300.0,NEAR BAY,554.4719160707051,13.235729149621601,3.5328947368421053,4.067448680351906
-122.29,37.82,2.0,158.0,43.0,94.0,57.0,2.5625,60000.0,NEAR BAY,555.0616726051159,12.426976699154372,1.6491228070175439,3.6744186046511627
-122.29,37.83,52.0,1121.0,211.0,554.0,187.0,3.3929,75700.0,NEAR BAY,555.8857383558235,12.914917500581257,2.962566844919786,5.312796208530806
-122.29,37.82,49.0,135.0,29.0,86.0,23.0,6.1183,75000.0,NEAR BAY,555.0616726051159,12.426976699154372,3.739130434782609,4.655172413793103
-122.29,37.81,50.0,760.0,190.0,377.0,122.0,0.9011,86100.0,NEAR BAY,554.2386099139744,12.02236521781599,3.0901639344262297,4.0
-122.3,37.81,52.0,1224.0,237.0,521.0,159.0,1.191,76100.0,NEAR BAY,554.8301506181832,11.194816259139186,3.2767295597484276,5.1645569620253164
-122.3,37.81,48.0,828.0,182.0,392.0,133.0,2.5938,73500.0,NEAR BAY,554.8301506181832,11.194816259139186,2.9473684210526314,4.549450549450549
-122.3,37.81,52.0,1010.0,209.0,604.0,187.0,1.1667,78400.0,NEAR BAY,554.8301506181832,11.194816259139186,3.229946524064171,4.832535885167464
-122.3,37.81,48.0,1455.0,354.0,788.0,332.0,0.8056,84400.0,NEAR BAY,554.8301506181832,11.194816259139186,2.3734939759036147,4.110169491525424
-122.29,37.8,52.0,1027.0,244.0,492.0,147.0,2.6094,81300.0,NEAR BAY,553.4165547577899,11.709724193784176,3.3469387755102042,4.209016393442623
-122.3,37.81,52.0,572.0,109.0,274.0,82.0,1.8516,85000.0,NEAR BAY,554.8301506181832,11.194816259139186,3.341463414634146,5.247706422018348
-122.29,37.81,46.0,2801.0,644.0,1823.0,611.0,0.9802,129200.0,NEAR BAY,554.2386099139744,12.02236521781599,2.983633387888707,4.349378881987578
-122.29,37.81,26.0,768.0,152.0,392.0,127.0,1.7719,82500.0,NEAR BAY,554.2386099139744,12.02236521781599,3.0866141732283463,5.052631578947368
-122.29,37.81,46.0,935.0,297.0,582.0,277.0,0.7286,95200.0,NEAR BAY,554.2386099139744,12.02236521781599,2.101083032490975,3.1481481481481484
-122.29,37.81,49.0,844.0,204.0,560.0,152.0,1.75,75000.0,NEAR BAY,554.2386099139744,12.02236521781599,3.6842105263157894,4.137254901960785
-122.29,37.81,46.0,12.0,4.0,18.0,7.0,0.4999,67500.0,NEAR BAY,554.2386099139744,12.02236521781599,2.5714285714285716,3.0
-122.29,37.81,20.0,835.0,161.0,290.0,133.0,2.483,137500.0,NEAR BAY,554.2386099139744,12.02236521781599,2.180451127819549,5.186335403726708
-122.28,37.81,17.0,1237.0,462.0,762.0,439.0,0.9241,177500.0,NEAR BAY,553.6478988027217,12.85670456816573,1.7357630979498861,2.6774891774891776
-122.28,37.81,36.0,2914.0,562.0,1236.0,509.0,2.4464,102100.0,NEAR BAY,553.6478988027217,12.85670456816573,2.4282907662082516,5.185053380782918
-122.28,37.81,19.0,1207.0,243.0,721.0,207.0,1.1111,108300.0,NEAR BAY,553.6478988027217,12.85670456816573,3.4830917874396135,4.967078189300412
-122.29,37.81,23.0,1745.0,374.0,1054.0,325.0,0.8026,112500.0,NEAR BAY,554.2386099139744,12.02236521781599,3.243076923076923,4.665775401069519
-122.28,37.8,38.0,684.0,176.0,344.0,155.0,2.0114,131300.0,NEAR BAY,552.8248873165763,12.564952760636205,2.2193548387096773,3.8863636363636362
-122.28,37.81,17.0,924.0,289.0,609.0,289.0,1.5,162500.0,NEAR BAY,553.6478988027217,12.85670456816573,2.1072664359861593,3.1972318339100347
-122.27,37.81,52.0,210.0,56.0,183.0,56.0,1.1667,112500.0,NEAR BAY,553.0580199488678,13.696593430706093,3.267857142857143,3.75
-122.28,37.81,52.0,340.0,97.0,200.0,87.0,1.5208,112500.0,NEAR BAY,553.6478988027217,12.85670456816573,2.2988505747126435,3.5051546391752577
-122.28,37.81,52.0,386.0,164.0,346.0,155.0,0.8075,137500.0,NEAR BAY,553.6478988027217,12.85670456816573,2.232258064516129,2.3536585365853657
-122.28,37.81,35.0,948.0,184.0,467.0,169.0,1.8088,118800.0,NEAR BAY,553.6478988027217,12.85670456816573,2.7633136094674557,5.1521739130434785
-122.28,37.81,52.0,773.0,143.0,377.0,115.0,2.4083,98200.0,NEAR BAY,553.6478988027217,12.85670456816573,3.2782608695652176,5.405594405594406
-122.27,37.81,40.0,880.0,451.0,582.0,380.0,0.977,118800.0,NEAR BAY,553.0580199488678,13.696593430706093,1.5315789473684212,1.951219512195122
-122.27,37.81,10.0,875.0,348.0,546.0,330.0,0.76,162500.0,NEAR BAY,553.0580199488678,13.696593430706093,1.6545454545454545,2.514367816091954
-122.27,37.8,10.0,105.0,42.0,125.0,39.0,0.9722,137500.0,NEAR BAY,552.234051520118,13.423221537905523,3.2051282051282053,2.5
-122.27,37.8,52.0,249.0,78.0,396.0,85.0,1.2434,500001.0,NEAR BAY,552.234051520118,13.423221537905523,4.658823529411765,3.1923076923076925
-122.27,37.8,16.0,994.0,392.0,800.0,362.0,2.0938,162500.0,NEAR BAY,552.234051520118,13.423221537905523,2.2099447513812156,2.5357142857142856
-122.28,37.8,52.0,215.0,87.0,904.0,88.0,0.8668,137500.0,NEAR BAY,552.8248873165763,12.564952760636205,10.272727272727273,2.471264367816092
-122.28,37.8,52.0,96.0,31.0,191.0,34.0,0.75,162500.0,NEAR BAY,552.8248873165763,12.564952760636205,5.617647058823529,3.096774193548387
