content,T
"almost_none Block Groups INLAND, which are predominantly single big family, compared to Block Groups <1H OCEAN, are aged",0.7173334860411863
"around 20 % Block Groups INLAND, which are practically worthless, compared to Block Groups <1H OCEAN, are aged",0.693099766914133
"almost_none Block Groups INLAND, which are predominantly single big family AND practically worthless, compared to Block Groups <1H OCEAN, are aged",0.9482789522105756
"almost_none Block Groups INLAND, which are aged, compared to Block Groups <1H OCEAN, are predominantly single big family",0.5314665350360275
"around 20 % Block Groups INLAND, which are practically worthless, compared to Block Groups <1H OCEAN, are predominantly single big family",0.7918914005104556
"almost_none Block Groups INLAND, which are aged AND practically worthless, compared to Block Groups <1H OCEAN, are predominantly single big family",0.8262558146354916
"almost all Block Groups INLAND, which are aged, compared to Block Groups <1H OCEAN, are practically worthless",0.6833333811529126
"almost all Block Groups INLAND, which are predominantly single big family, compared to Block Groups <1H OCEAN, are practically worthless",0.7912948076053129
"most Block Groups INLAND, which are aged AND predominantly single big family, compared to Block Groups <1H OCEAN, are practically worthless",1.0
"around 20 % Block Groups INLAND, which are practically worthless, compared to Block Groups <1H OCEAN, are aged AND predominantly single big family",0.5948709735981828
"most Block Groups INLAND, which are predominantly single big family, compared to Block Groups <1H OCEAN, are aged AND practically worthless",0.8095783385814916
"most Block Groups INLAND, which are aged, compared to Block Groups <1H OCEAN, are predominantly single big family AND practically worthless",0.7832960707219974
